# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	Resources\Textures\mario.png	255	255	255
1	Resources\Textures\mar.png	68	145	190
2	Resources\Textures\mar2.png	68	145	190
20	Resources\Textures\misc.png	176	224	248
21	Resources\Textures\misc2.png	166	185	255
10	Resources\Textures\enemies.png	3	26	110
30	Resources\Tilemap\world1-1_bank.png	0	0	0
40	Resources\Textures\enemies1.1.png	0	255	255
50	Resources\Textures\enemies-2.png	0	128	128
100	Resources\Textures\mario-left.png	255	255	255
110	Resources\Textures\mario-right.png	255	255	255	
[TILEMAP DATA]
Resources\Tilemap\world1-1.txt
# id	left	top	right	bottom	texture_id
[SPRITES]
# Type	Level	State	Direction	Serial
# Type: 1 = Mario
# Level: 0 = Small; 1 = Big; 2 = Tail; 3 = Fire
# State: 0 = Walk; 1 = Max Speed; 2 = Jump; 3 = Brake; 4 = Sitdown; 5 = Hold; 6 = Fly, 7 = Kick 
# Direction: 0 = Right; 1 = Left, null = Idle
# Serial: Optional
# die 
10909	215	120	231	135	0
#  ==== Small Mario ==== 
# --Right--
# idle right
10001	247	0	259	15	0
#walk right
10002	275	0	291	15	0
10003	306	0	320	15	0
#max speed right
10104	335	0	351	16	0
10105	275	0	291	15	0
#jump up right
10201	395	80	411	96	0
#jump down right
10202	395	80	411	96	0
#brake right
10307	6	0	20	16	0
#hold idle right
10500	246	120	260	136	0
#hold walk right
10501	276	120	291	136	0
10502	246	120	260	136	0
#hold jump right
10503	276	120	291	136	0
#fly right
10602	365	40	381	56	0
#kick right
10700	425	80	441	96	0
#Trasnform right
14001	247	312	259	339	0
14002	366	272	380	299	0
# --Left--
# idle left
10011	187	0	198	15	0
#walk left
10012	155	0	170	15	0
10013	125	0	139	15	0
#max speed left
10114	95	0	111	16	0
10115	155	0	170	15	0
#jump up left
10211	35	80	51	96	0
#jump down left
10212	35	80	51	96	0
#brake left
10317	426	0	440	16	0
#hold idle left
10510	186	120	200	136	0
#hold walk left
10511	155	120	170	136	0
10512	186	120	200	136	0
#hold jump left
10513	155	120	170	136	0
#fly left
10612	65	40	81	56	0
#kick left
10710	5	80	21	96	0
#Trasnform left
14011	186	312	198	339	0
14012	66	272	80	299	0
#  ==== Big Mario  ==== 
# --Right--
# idle right
11001	246	154	260	181	0
#walk right
11002	275	154	291	181	0
11003	305	155	321	181	0
#max speed right
11104	334	154	353	181	0
11105	362	154	381	181	0
#jump up right
11201	395	275	411	301	0
#jump down right
11202	305	155	321	181	0
#brake right
11307	5	154	21	182	0
#sit right
11408	426	239	440	257	0
#hold idle right
11500	336	234	350	261	0
#hold walk right
11501	336	234	350	261	0
11502	276	314	291	341	0
#hold jump right
11503	305	315	321	341	0
#fly right
11602	394	195	413	221	0
#kick right
11700	423	274	444	301	0
# --Left--
# idle left
11011	186	154	200	181	0
#walk left
11012	155	154	170	181	0
11013	125	154	140	181	0
#max speed left
11114	93	154	112	181	0
11115	65	154	84	181	0
#jump up left
11211	35	275	51	301	0
#jump down left
11212	125	155	141	181	0
#brake left
11317	425	154	441	182	0
#sit left
11418	6	239	20	257	0
#hold idle left
11510	96	234	110	261	0
#hold walk left
11511	96	234	110	261	0
11512	155	314	170	341	0
#hold jump left
11513	125	315	141	341	0
#fly left
11612	33	195	52	221	0
#kick left
11710	2	274	23	301	0
#  ==== Tail Mario ==== 
# --Right--
# idle right
12001	80	142	101	170	110
#walk right
12002	104	142	126	170	110
12003	129	143	152	170	110
#max speed right
12104	360	142	384	170	110
12105	387	142	411	170	110
#jump up right
12201	257	143	280	170	110
#jump down right
12202	309	143	332	170	110
#brake right
12307	669	140	685	170	100
#sit right
12408	522	152	544	170	110	
#hold idle right
12500	566	142	587	170	110
#hold walk right
12501	590	142	612	170	110
12502	615	143	638	170	110
#hold jump right
12503	615	143	638	170	110
#fly up right
12602	495	142	519	170	110
#fly down right
12603	441	143	465	170	110
#fly flapping right
12604	441	143	465	170	110
12605	468	143	492	170	110
